,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
50,8.0,Sat,2018-05-19,15:00,Klepp,2–1,Røa,318.0,Klepp Stadion,Daniel Higraff,Match Report,
51,8.0,Sat,2018-05-19,15:00,Arna-Bjørnar,0–1,LSK Kvinner,142.0,Arna Idrettspark,Ruben Haugland,Match Report,
52,8.0,Sat,2018-05-19,15:00,Stabæk,5–0,Lyn,206.0,Nadderud Stadion,Sarah Fatemeh Zangeneh,Match Report,
53,8.0,Sun,2018-05-20,14:00,Grand Bodø,1–2,Kolbotn,230.0,Nordlandshallen,Henrikke Holm Nervik,Match Report,
54,,,,,,,,,,,,
55,9.0,Sat,2018-05-26,12:00,Røa,2–2,Arna-Bjørnar,414.0,Røabanen,Henrikke Holm Nervik,Match Report,
56,9.0,Sat,2018-05-26,14:30,Kolbotn,3–1,Klepp,433.0,Stemmemyren kunstgressbane,Marte Sørø,Match Report,
57,9.0,Sat,2018-05-26,17:00,Stabæk,0–1,Sandviken,360.0,Nadderud Stadion,Malin Frantzen Øiseth,Match Report,
58,9.0,Sun,2018-05-27,12:00,Lyn,2–1,Grand Bodø,308.0,Kringsjå Kunstgress,Emilie Dokset,Match Report,
59,9.0,Sun,2018-05-27,14:30,Vålerenga,0–1,Trondheims-Ørn,505.0,Intility Arena,Ingvild Aarland,Match Report,
60,9.0,Sun,2018-05-27,17:00,LSK Kvinner,4–0,Avaldsnes,431.0,Telenor Arena,Sarah Fatemeh Zangeneh,Match Report,
61,,,,,,,,,,,,
62,2.0,Mon,2018-06-04,18:00,Avaldsnes,1–2,Klepp,167.0,Avaldsnes Idrettssenter,Ingvild Aarland,Match Report,
63,,,,,,,,,,,,
64,10.0,Sat,2018-06-16,14:00,Sandviken,6–0,Lyn,211.0,Stemmemyren kunstgressbane,Ingvild Aarland,Match Report,
65,10.0,Sat,2018-06-16,14:00,Trondheims-Ørn,2–2,Kolbotn,211.0,Utleira Kunstgress,Sarah Fatemeh Zangeneh,Match Report,
66,10.0,Sat,2018-06-16,15:00,Avaldsnes,1–0,Arna-Bjørnar,179.0,Avaldsnes Idrettssenter,Ola Kellerhals,Match Report,
67,10.0,Sat,2018-06-16,15:00,Vålerenga,2–1,Røa,372.0,Vålerenga kultur- og idrettspark kunstgr...,Marte Sørø,Match Report,
68,10.0,Sat,2018-06-16,15:00,Grand Bodø,0–3,Stabæk,203.0,Nordlandshallen,Frank Salbu Henneman,Match Report,
69,10.0,Sat,2018-06-16,15:00,Klepp,0–2,LSK Kvinner,321.0,Klepp Stadion,Henrikke Holm Nervik,Match Report,
70,,,,,,,,,,,,
71,11.0,Sat,2018-06-23,14:00,Kolbotn,2–0,Avaldsnes,211.0,Sofiemyr stadion,Henrikke Holm Nervik,Match Report,
72,11.0,Sat,2018-06-23,14:00,Røa,3–2,Sandviken,132.0,Røabanen,Emilie Dokset,Match Report,
73,11.0,Sat,2018-06-23,14:00,Stabæk,0–1,Klepp,102.0,Nadderud Stadion,Marte Sørø,Match Report,
74,11.0,Sat,2018-06-23,15:00,Lyn,2–3,Trondheims-Ørn,152.0,Kringsjå Kunstgress,Malin Frantzen Øiseth,Match Report,
75,11.0,Sat,2018-06-23,15:00,Arna-Bjørnar,3–2,Vålerenga,141.0,Arna Idrettspark,Ingvild Aarland,Match Report,
76,11.0,Sun,2018-06-24,17:00,LSK Kvinner,2–0,Grand Bodø,170.0,LSK-hallen,Sebastian Mikalsen,Match Report,
77,,,,,,,,,,,,
78,2.0,Wed,2018-06-27,18:00,Kolbotn,0–2,Røa,233.0,Sofiemyr stadion,Sarah Fatemeh Zangeneh,Match Report,
79,,,,,,,,,,,,
80,12.0,Sat,2018-06-30,15:00,Trondheims-Ørn,2–3,LSK Kvinner,121.0,Utleira Kunstgress,Thomas Lystad,Match Report,
81,12.0,Sat,2018-06-30,15:00,Sandviken,1–3,Stabæk,202.0,Stemmemyren kunstgressbane,Andre Knudsen Arnholt,Match Report,
