,Rk,Squad,W,D,L,GD,Pts,Top Team Scorer,Goalkeeper
0,1,LSK Kvinner,15,5,2,33,50,"Guro Reiten, Elise Thorsnes - 12",Cecilie Fiskerstrand
1,2,Vålerenga,14,4,4,17,46,"Natasha Dowie, Ajara Nchout - 11",Hannah Seabert
2,3,Klepp,14,2,6,29,44,"Havana Solaun, Tameka Butt - 10",Lindsey Harris
3,4,Sandviken,12,4,6,11,40,Kennya Cordner - 17,Nora Neset Gjøen
4,5,Avaldsnes,9,7,6,7,34,Giovanna - 9,Victoria Esson
5,6,Røa,7,8,7,5,29,Synne Jensen - 16,Kirvil Schau Odden
6,7,Trondheims-Ørn,8,5,9,4,29,Marit Clausen - 9,Kristine Nøstmo
7,8,Kolbotn,7,6,9,-4,27,Isabell Herlovsen - 8,Aurora Mikalsen
8,9,Arna-Bjørnar,6,5,11,-15,23,Milica Mijatović - 7,Oda Bogstad
9,10,Lyn,4,8,10,-14,20,Runa Lillegård - 10,Karen Oline Sneve
10,11,Stabæk,3,4,15,-27,13,Melissa Bjånesøy - 9,Ingrid Hjelmseth
11,12,Fart,2,4,16,-46,10,Julie Blakstad - 4,Lena Lauve
