,Rk,Player,Squad,MP,Min,Gls,Gls
76,77,Heidi Ellingsen,LSK Kvinner,6,350,0,0.0
77,78,Ingrid Elvebakken,Kolbotn,21,1439,0,0.0
78,79,Åsa Emelie Helmvall,Fart,10,885,2,0.2
79,80,Rakel Engesvik,Trondheims-Ørn,15,1078,2,0.17
80,81,Erikinha,Avaldsnes,4,123,0,0.0
81,82,Hedda Eriksen,Fart,2,105,0,0.0
82,83,Camilla Ervik,Sandviken,19,1379,4,0.26
83,84,Siri Ervik,Stabæk,5,392,0,0.0
84,85,Victoria Esson,Avaldsnes,11,978,0,0.0
85,86,Mina Etnestad,Fart,1,2,0,0.0
86,87,Carlotta Fennefoss,Stabæk,13,1170,0,0.0
87,88,Cecilie Fiskerstrand,LSK Kvinner,20,1736,0,0.0
88,89,Vilde Fjelldal,Røa,14,992,5,0.45
89,90,Cornelia Fladberg,Stabæk,22,1877,0,0.0
90,91,Kine Fløtre,Vålerenga,5,76,0,0.0
91,92,Sara Fornes,Trondheims-Ørn,8,116,0,0.0
92,93,Tina Fremo,Trondheims-Ørn,4,53,0,0.0
93,94,Amanda Frisbie,Klepp,22,1980,2,0.09
94,95,Laura Gashi,Trondheims-Ørn,9,391,0,0.0
95,96,Ina Gausdal,LSK Kvinner,17,1335,0,0.0
96,97,Line Geltzer Johansen,Avaldsnes,6,540,0,0.0
97,98,Giovanna,Avaldsnes,16,1250,9,0.65
98,99,Helene Gloppen,Arna-Bjørnar,22,1980,1,0.05
99,100,Dorthea Glorud,Fart,1,10,0,0.0
100,101,Emma Godø,Lyn,8,344,0,0.0
101,102,Naomi Griffin,Fart,9,530,0,0.0
102,103,Kristina Grøndal,Sandviken,3,88,0,0.0
103,104,Hilde Gunn Olsen,Kolbotn,7,630,0,0.0
104,105,Emilie Haavi,LSK Kvinner,10,841,2,0.21
105,106,Helene Haavik,Avaldsnes,11,245,0,0.0
106,107,Hege Hansen,Klepp,7,608,2,0.3
107,108,Synne Hansen,LSK Kvinner,21,1632,9,0.5
108,109,Tuva Hansen,Klepp,22,1980,0,0.0
109,110,Lindsey Harris,Klepp,22,1971,0,0.0
110,111,Mathilde Harviken,Fart,22,1961,0,0.0
111,112,Mari Hasselknippe,Lyn,1,90,0,0.0
112,113,Vilde Hasund,Lyn,22,1956,4,0.18
113,114,Sophie Haug,LSK Kvinner,19,740,1,0.12
114,115,Maren Hauge,Stabæk,9,730,0,0.0
115,116,Maren Hauge,Vålerenga,5,48,0,0.0
116,117,My Haugland Sørsdahl,Kolbotn,17,1192,0,0.0
117,118,Eline Hegg,Kolbotn,21,1623,1,0.06
118,119,Sigrid Heien Hansen,Kolbotn,19,1593,2,0.11
119,120,Karoline Heimvik Haugland,Arna-Bjørnar,2,122,0,0.0
120,121,Isabell Herlovsen,Kolbotn,17,1517,8,0.47
121,122,Selma Hernes,Lyn,11,278,0,0.0
122,123,Maria Hiim,Røa,3,151,0,0.0
123,124,Marte Hjelmhaug,Sandviken,19,1271,0,0.0
124,125,Ingrid Hjelmseth,Stabæk,19,1588,0,0.0
125,126,Louise Högrell,Avaldsnes,6,462,0,0.0
126,127,Madelen Holme,Arna-Bjørnar,1,10,0,0.0
127,128,Marita Holmen Iversen,Røa,9,762,0,0.0
128,129,Kristin Holmen,Kolbotn,21,1579,1,0.06
129,130,Rebecka Holum,Røa,22,1948,4,0.18
130,131,Stine Hovland,Sandviken,9,810,0,0.0
131,132,Camilla Huseby,Lyn,22,1980,0,0.0
132,133,Linn Huseby,Lyn,22,1895,3,0.14
133,134,Celin Ildhusøy,Vålerenga,19,633,2,0.28
134,135,Ana Jelenčić,Avaldsnes,8,477,0,0.0
135,136,Anette Jensen,Klepp,3,23,0,0.0
136,137,Marina Jensen,Sandviken,11,344,0,0.0
137,138,Sofie Jensen,Sandviken,8,193,0,0.0
138,139,Synne Jensen,Røa,22,1973,16,0.73
139,140,Una Johanne Søyland,Lyn,14,404,2,0.45
140,141,Sara Johansen,Fart,20,1769,2,0.1
141,142,Zara Jönsson,Stabæk,7,167,2,1.08
142,143,Idun-Kristine Jørgensen,Fart,11,990,0,0.0
143,144,Anna Jøsendal,Avaldsnes,12,838,4,0.43
144,145,Kaja Karlsen,Klepp,2,14,0,0.0
145,146,Justine Kielland,Stabæk,15,615,0,0.0
146,147,Mina Kjørum,Fart,13,1146,3,0.24
147,148,Julie Klæboe,Kolbotn,18,627,1,0.14
148,149,Hanne Kogstad,Klepp,17,489,1,0.18
149,150,Amalie Kolnes,Klepp,1,9,0,0.0
150,151,Tinja-Riikka Korpela,Vålerenga,7,569,0,0.0
151,152,Maren Kristine Andersen,Fart,13,1115,0,0.0
152,153,Ina Kristoffersen,Stabæk,9,416,0,0.0
153,154,Cecilie Kvamme,Sandviken,9,810,0,0.0
154,155,Ingrid Kvernvolden,Røa,4,117,0,0.0
155,156,Elise Kvinge,Sandviken,1,4,0,0.0
156,157,Linnéa Laupstad,Arna-Bjørnar,7,249,0,0.0
157,158,Lena Lauve,Fart,11,990,0,0.0
158,159,Kristine Leine,Røa,9,810,0,0.0
159,160,Gabrielle Lemos Lie,Stabæk,10,435,0,0.0
160,161,Mali Lilleås Næss,Trondheims-Ørn,22,1980,0,0.0
161,162,Runa Lillegård,Lyn,22,1566,10,0.57
162,163,Camilla Linberg,Lyn,21,1469,2,0.12
163,164,Sara Lindbak Hørte,Kolbotn,16,1284,3,0.21
164,165,Thea Loennecken,Stabæk,15,877,0,0.0
165,166,Ingrid Lovise Jåstad,Arna-Bjørnar,13,802,1,0.11
166,167,Victoria Ludvigsen,Vålerenga,21,1724,2,0.1
167,168,Aivi Luik,Avaldsnes,11,988,0,0.0
168,169,Frida Lyshoel,Røa,22,1948,0,0.0
169,170,Maja Maria Nordahl,Kolbotn,1,7,0,0.0
170,171,Emilie Marie Joramo,Trondheims-Ørn,21,1676,1,0.05
171,172,Rikke Marie Madsen,Vålerenga,13,1049,1,0.09
172,173,Ingrid Marie Spord,Sandviken,22,1972,1,0.05
173,174,Synne Masdal,Røa,6,142,0,0.0
174,175,Madeleine Mellemstrand,Klepp,13,719,0,0.0
175,176,Kate Michelle Kraeutner,Fart,6,509,0,0.0
176,177,Martine Midtbø,Arna-Bjørnar,1,28,0,0.0
177,178,Milica Mijatović,Arna-Bjørnar,21,1685,7,0.37
178,179,Aurora Mikalsen,Kolbotn,12,1080,0,0.0
179,180,Maria Min Sørenes,Avaldsnes,17,546,0,0.0
180,181,Andrine Mo,Arna-Bjørnar,20,1265,0,0.0
181,182,Ingrid Moe Wold,LSK Kvinner,22,1980,2,0.09
182,183,Tanja Myrseth,Kolbotn,18,1060,0,0.0
183,184,Lisa Naalsund,Sandviken,22,1980,5,0.23
184,185,Katarina Naumanen,Stabæk,6,482,0,0.0
185,186,Emilie Nautnes,Arna-Bjørnar,9,810,3,0.33
186,187,Emilie Nautnes,LSK Kvinner,12,1035,1,0.09
187,188,Ajara Nchout,Vålerenga,22,1933,11,0.51
188,189,Nora Neset Gjøen,Sandviken,22,1980,0,0.0
189,190,Linn-Mari Nilsen,Røa,6,540,0,0.0
190,191,Natalie Nilsen,Fart,21,1808,2,0.1
191,192,Siri Nordeide Grønli,Stabæk,21,1863,0,0.0
192,193,Louise Normann,Stabæk,19,1383,0,0.0
193,194,Ida Norstrøm,LSK Kvinner,4,244,0,0.0
194,195,Rikke Nygård,Arna-Bjørnar,21,1837,2,0.1
195,196,Kristine Nøstmo,Trondheims-Ørn,22,1980,0,0.0
196,197,Karen Oline Sneve,Lyn,22,1980,0,0.0
197,198,Freja Olofsson,Arna-Bjørnar,1,7,0,0.0
198,199,Iselin Olsen,Lyn,12,748,0,0.0
199,200,Marita Olsen,Trondheims-Ørn,9,704,0,0.0
200,201,Maria Olsvik,Trondheims-Ørn,22,1980,0,0.0
201,202,Iris Omarsdottir,Stabæk,9,391,0,0.0
202,203,Tora Ose,Arna-Bjørnar,1,9,0,0.0
203,204,Anna Palm,Lyn,16,771,0,0.0
204,205,Cecilie Pedersen,Avaldsnes,2,22,0,0.0
205,206,Christina Pedersen,Fart,1,14,0,0.0
206,207,Guro Pedersen,Røa,4,55,0,0.0
207,208,Tonje Pedersen,Kolbotn,21,1785,2,0.1
208,209,Nathalie Persson,Røa,5,54,0,0.0
209,210,Guro Pettersen,Vålerenga,8,691,0,0.0
210,211,Sanna Porali,Fart,20,1631,0,0.0
211,212,Synne Raa,Sandviken,7,224,1,0.4
212,213,Anja Rasmussen,Kolbotn,2,13,0,0.0
213,214,Stine Reinås,Vålerenga,11,562,0,0.0
214,215,Guro Reiten,LSK Kvinner,10,900,12,1.2
215,216,Kristin Risnes,Arna-Bjørnar,19,1392,0,0.0
216,217,Matilde Rogde,Klepp,10,276,4,1.3
217,218,Ingrid Ryland,Sandviken,19,1608,2,0.11
218,219,Jenny Røsholm Olsen,Lyn,9,647,0,0.0
219,220,Sina Sagbakken,Fart,3,104,0,0.0
220,221,Elen Sagmo Melhus,Trondheims-Ørn,21,1786,3,0.15
221,222,Svanhild Sand,Vålerenga,5,405,0,0.0
222,223,Ingrid Sandviken,Fart,4,85,0,0.0
223,224,Kirvil Schau Odden,Røa,16,1440,0,0.0
224,225,Ingrid Schjelderup,Vålerenga,3,52,0,0.0
225,226,Hannah Seabert,Vålerenga,8,720,0,0.0
226,227,Lauren Silver,Trondheims-Ørn,1,10,0,0.0
227,228,Ina Skaug,Røa,18,1340,2,0.13
228,229,Trine Skjelstad Jensen,Lyn,22,1895,0,0.0
229,230,Synne Sofie Christiansen,Vålerenga,4,103,1,0.87
230,231,Marte Sofie Ness,Stabæk,4,79,0,0.0
231,232,Havana Solaun,Klepp,20,1725,10,0.52
232,233,Lena Soleng Hansen,Klepp,17,1186,0,0.0
233,234,Sherida Spitse,Vålerenga,21,1890,3,0.14
234,235,Sandra Stavenes,Arna-Bjørnar,3,270,0,0.0
235,236,Dejana Stefanović,Vålerenga,12,976,2,0.18
236,237,Dejana Stefanović,Avaldsnes,9,810,5,0.56
237,238,Elise Stenevik,Arna-Bjørnar,19,1710,1,0.05
238,239,Ingrid Stenevik,Sandviken,22,1980,1,0.05
239,240,Rebekah Stott,Avaldsnes,22,1980,0,0.0
240,241,Emma Stubbrud,Fart,2,50,0,0.0
241,242,Katarina Sunde,Arna-Bjørnar,2,63,0,0.0
242,243,Malin Sunde,Trondheims-Ørn,12,1080,0,0.0
243,244,Sarah Suphellen,LSK Kvinner,5,340,0,0.0
244,245,Ragne Svastuen,Røa,20,1146,3,0.24
245,246,Ingrid Syrstad Engen,LSK Kvinner,9,720,2,0.25
246,247,Hildegunn Sævik,Kolbotn,3,270,0,0.0
247,248,Karina Sævik,Kolbotn,10,900,7,0.7
248,249,Ingrid Søndenå,Vålerenga,14,980,1,0.09
249,250,Anja Sønstevold,LSK Kvinner,21,1890,2,0.1
250,251,Elin Sørum,Trondheims-Ørn,20,1600,1,0.06
251,252,Marte Taugbøl,Fart,4,11,0,0.0
252,253,Ylinn Tennebø,Avaldsnes,10,868,1,0.1
253,254,Elisabeth Terland,Klepp,10,714,7,0.88
254,255,Maren Thoresen,Lyn,15,703,1,0.13
255,256,Rikke Thorkildsen,Stabæk,4,208,0,0.0
256,257,Elise Thorsnes,LSK Kvinner,22,1796,12,0.6
257,258,Gry Tofte Ims,Klepp,22,1948,5,0.23
258,259,Andrine Tomter,Vålerenga,8,720,0,0.0
259,260,Sofie Tunes,Lyn,8,700,0,0.0
260,261,Olaug Tvedten,Avaldsnes,22,1972,7,0.32
261,262,Nathalie Utvik,Avaldsnes,22,1797,2,0.1
262,263,Justine Vanhaevermaet,Røa,21,1823,3,0.15
263,264,Ina Vårhus,Trondheims-Ørn,21,1776,0,0.0
264,265,Madelaine Veivåg,Sandviken,10,674,0,0.0
265,266,Natalie Velde,Avaldsnes,1,7,0,0.0
266,267,Susanne Vistnes,Klepp,20,1459,0,0.0
267,268,Florin Wagner,Fart,4,204,0,0.0
268,269,Maruschka Waldus,Vålerenga,21,1829,4,0.2
269,270,Myia Wilkes,Fart,7,505,0,0.0
270,271,Andrea Wilmann,Arna-Bjørnar,22,1933,2,0.09
271,272,Katrine Winnem Jørgensen,Røa,21,1737,4,0.21
272,273,Emilie Woldvik,LSK Kvinner,19,1497,1,0.06
273,274,Zaneta Wyne,Klepp,22,1940,2,0.09
274,275,Marthine Østenstad,Klepp,21,1438,1,0.06
275,276,Emilie Østerås,Vålerenga,3,34,0,0.0
276,277,Anna Østrem,Avaldsnes,3,55,0,0.0
