,Rk,Player,Squad,MP,Min,Gls,Gls
0,1,Kamilla Aabel,Røa,21,1761,0,0.0
1,2,Anna Aahjem,Lyn,2,14,0,0.0
2,3,Live Aandal,Stabæk,5,315,0,0.0
3,4,Meryll Abrahamsen,LSK Kvinner,13,556,3,0.49
4,5,Julie Adserø,Trondheims-Ørn,14,591,4,0.61
5,6,Rasheedat Ajibade,Avaldsnes,22,1613,5,0.28
6,7,Ingrid Altermark,Sandviken,19,877,0,0.0
7,8,Cesilie Andreassen,Trondheims-Ørn,18,1270,5,0.35
8,9,Marie Andresen,Klepp,22,1471,4,0.24
9,10,Kristrún Antonsdóttir,Avaldsnes,3,145,0,0.0
10,11,Laís Araújo,Arna-Bjørnar,21,1827,2,0.1
11,12,Chinyelu Asher,Stabæk,14,1125,0,0.0
12,13,Therese Åsland,LSK Kvinner,22,1522,2,0.12
13,14,Mimi Asom,Arna-Bjørnar,12,940,4,0.38
14,15,Julie Austdal,Klepp,3,12,0,0.0
15,16,Anja Avdal,Arna-Bjørnar,2,19,0,0.0
16,17,Isabell Bachor,LSK Kvinner,21,1784,1,0.05
17,18,Maiken Bakke,Trondheims-Ørn,12,733,0,0.0
18,19,Nora Bakke,Fart,19,983,0,0.0
19,20,Stine Ballisager Pedersen,Vålerenga,22,1980,0,0.0
20,21,Ingrid Bårdseth,Fart,1,10,0,0.0
21,22,Camilla Bekkevold,Fart,17,532,0,0.0
22,23,Siri Berg-Johansen,Trondheims-Ørn,5,77,0,0.0
23,24,Guro Bergsvand,Stabæk,22,1980,0,0.0
24,25,Tone Bettina Pirisi,Kolbotn,20,1580,0,0.0
25,26,Vilde Birkeli,Røa,21,1790,1,0.05
26,27,Benedikte Birkelund,Fart,8,647,0,0.0
27,28,Melissa Bjånesøy,Stabæk,20,1769,9,0.46
28,29,Thea Bjelde,Arna-Bjørnar,5,303,0,0.0
29,30,Birgitte Bjørlykhaug,Røa,6,265,1,0.34
30,31,Silje Bjørneboe,Stabæk,22,1980,0,0.0
31,32,Julie Blakstad,Fart,22,1933,4,0.19
32,33,Silje Blakstad,Stabæk,14,856,2,0.21
33,34,Sigrid Bloch-Hansen,Fart,21,1845,1,0.05
34,35,Oda Bogstad,Arna-Bjørnar,19,1710,0,0.0
35,36,Emilie Bragstad,Trondheims-Ørn,12,1044,1,0.09
36,37,Marit Bratberg Lund,Kolbotn,20,1642,3,0.16
37,38,Brena,Avaldsnes,9,801,1,0.11
38,39,Malin Brenn,LSK Kvinner,10,791,0,0.0
39,40,Maria Brochmann,Sandviken,22,1941,11,0.51
40,41,Andrea Broholm,Trondheims-Ørn,8,181,0,0.0
41,42,Kristina Brudvik,Arna-Bjørnar,4,105,0,0.0
42,43,Marije Brummel,Sandviken,11,829,0,0.0
43,44,Tameka Butt,Klepp,21,1817,10,0.5
44,45,Miriam Byberg,Klepp,1,1,0,0.0
45,46,Nora Byom-Nilssen,Røa,9,662,0,0.0
46,47,Joanna Bækkelund,Lyn,14,1099,1,0.08
47,48,Emilie Bølviken,Lyn,15,1153,0,0.0
48,49,Tiffany Cameron,Stabæk,20,1082,3,0.25
49,50,Tine Celine Karstensen,Vålerenga,1,45,0,0.0
50,51,Julia Charlotte Arnesen,Røa,1,8,0,0.0
51,52,Marit Clausen,Trondheims-Ørn,20,1456,9,0.56
52,53,Georgia Cloepfil,Arna-Bjørnar,5,318,1,0.28
53,54,Emilie Closs,Lyn,3,231,0,0.0
54,55,Kennya Cordner,Sandviken,22,1830,17,0.84
55,56,Anya de Courcy,Røa,6,308,0,0.0
56,57,Hanna Dahl,Avaldsnes,22,1785,1,0.05
57,58,Tina Dalgård,Vålerenga,16,1337,0,0.0
58,59,Jenna Dear,Vålerenga,11,808,1,0.11
59,60,Robyn Decker,Avaldsnes,21,1890,1,0.05
60,61,Cathrine Dekkerhus,LSK Kvinner,3,49,0,0.0
61,62,Natasha Dowie,Vålerenga,18,1609,11,0.62
62,63,Duda,Avaldsnes,18,1493,4,0.24
63,64,Marie Dølvik Markussen,Vålerenga,18,991,2,0.18
64,65,Siw Døvle,Trondheims-Ørn,4,144,0,0.0
65,66,Ngozi Ebere,Arna-Bjørnar,15,873,2,0.21
66,67,Noor Eckhoff,Lyn,22,1879,0,0.0
67,68,Oda Edvartsen,Fart,13,646,0,0.0
68,69,Nora Egenes,LSK Kvinner,3,42,0,0.0
69,70,Oda Eide Arnesen,Avaldsnes,3,65,0,0.0
70,71,Nora Eide Lie,Kolbotn,22,1909,7,0.33
71,72,Åsne Eide,Arna-Bjørnar,7,341,0,0.0
72,73,Lise Eide,Fart,14,760,0,0.0
73,74,Amalie Eikeland,Sandviken,11,986,1,0.09
74,75,Augustine Ejangue,Arna-Bjørnar,16,1141,0,0.0
75,76,Sara Elisabeth Idris,Kolbotn,3,4,0,0.0
