,Home,Score,Away
27,Trondheims-Ørn,0–1,Klepp
28,Røa,4–1,Grand Bodø
30,Stabæk,4–2,Avaldsnes
32,Lyn,1–1,Vålerenga
34,Klepp,3–0,Vålerenga
35,LSK Kvinner,5–0,Trondheims-Ørn
36,Avaldsnes,3–0,Lyn
37,Arna-Bjørnar,1–1,Kolbotn
38,Grand Bodø,1–3,Sandviken
39,Stabæk,1–3,Røa
41,Røa,2–0,Avaldsnes
42,Sandviken,1–0,Klepp
43,Lyn,3–4,LSK Kvinner
44,Kolbotn,1–1,Stabæk
45,Trondheims-Ørn,2–6,Arna-Bjørnar
46,Vålerenga,3–2,Grand Bodø
48,Sandviken,3–0,Vålerenga
49,Avaldsnes,2–0,Trondheims-Ørn
50,Klepp,2–1,Røa
51,Arna-Bjørnar,0–1,LSK Kvinner
52,Stabæk,5–0,Lyn
53,Grand Bodø,1–2,Kolbotn
55,Røa,2–2,Arna-Bjørnar
56,Kolbotn,3–1,Klepp
57,Stabæk,0–1,Sandviken
58,Lyn,2–1,Grand Bodø
59,Vålerenga,0–1,Trondheims-Ørn
60,LSK Kvinner,4–0,Avaldsnes
62,Avaldsnes,1–2,Klepp
64,Sandviken,6–0,Lyn
65,Trondheims-Ørn,2–2,Kolbotn
66,Avaldsnes,1–0,Arna-Bjørnar
67,Vålerenga,2–1,Røa
68,Grand Bodø,0–3,Stabæk
69,Klepp,0–2,LSK Kvinner
71,Kolbotn,2–0,Avaldsnes
72,Røa,3–2,Sandviken
73,Stabæk,0–1,Klepp
74,Lyn,2–3,Trondheims-Ørn
75,Arna-Bjørnar,3–2,Vålerenga
76,LSK Kvinner,2–0,Grand Bodø
78,Kolbotn,0–2,Røa
80,Trondheims-Ørn,2–3,LSK Kvinner
81,Sandviken,1–3,Stabæk
82,Klepp,2–1,Kolbotn
83,Grand Bodø,0–4,Arna-Bjørnar
84,Avaldsnes,2–2,Røa
85,Vålerenga,6–1,Lyn
87,Arna-Bjørnar,4–1,Avaldsnes
89,Lyn,2–2,Avaldsnes
90,Røa,0–1,Klepp
91,Kolbotn,1–1,Sandviken
92,LSK Kvinner,2–0,Vålerenga
93,Stabæk,2–0,Grand Bodø
94,Arna-Bjørnar,6–1,Trondheims-Ørn
96,Vålerenga,1–0,Sandviken
97,Klepp,2–0,Stabæk
98,Røa,1–2,Kolbotn
99,Trondheims-Ørn,1–1,Lyn
100,Grand Bodø,0–3,LSK Kvinner
102,Kolbotn,1–0,Lyn
104,Stabæk,0–1,Vålerenga
105,Sandviken,5–3,Røa
106,Lyn,0–1,Klepp
107,Kolbotn,3–3,Trondheims-Ørn
108,LSK Kvinner,2–0,Arna-Bjørnar
109,Avaldsnes,3–3,Grand Bodø
111,Arna-Bjørnar,2–1,Lyn
112,Røa,2–0,Stabæk
113,Trondheims-Ørn,1–1,Avaldsnes
114,LSK Kvinner,5–1,Kolbotn
115,Grand Bodø,1–2,Vålerenga
116,Klepp,1–1,Sandviken
118,Avaldsnes,1–4,LSK Kvinner
119,Stabæk,2–0,Trondheims-Ørn
120,Kolbotn,1–4,Arna-Bjørnar
121,Lyn,3–4,Røa
122,Sandviken,4–1,Grand Bodø
123,Vålerenga,1–1,Klepp
125,Arna-Bjørnar,6–2,Stabæk
126,Røa,2–1,Vålerenga
127,Avaldsnes,0–0,Kolbotn
128,Grand Bodø,3–5,Klepp
129,Trondheims-Ørn,3–3,Sandviken
130,LSK Kvinner,2–1,Lyn
132,Stabæk,0–2,LSK Kvinner
133,Sandviken,1–1,Arna-Bjørnar
134,Lyn,0–1,Kolbotn
135,Grand Bodø,1–3,Røa
136,Klepp,1–0,Trondheims-Ørn
137,Vålerenga,2–1,Avaldsnes
139,Avaldsnes,0–0,Sandviken
140,Trondheims-Ørn,1–3,Vålerenga
141,Lyn,2–3,Stabæk
142,Arna-Bjørnar,2–0,Røa
143,LSK Kvinner,2–3,Klepp
144,Kolbotn,3–2,Grand Bodø
146,Klepp,2–1,Avaldsnes
147,Stabæk,1–2,Kolbotn
148,Røa,2–1,Trondheims-Ørn
149,Grand Bodø,1–0,Lyn
150,Vålerenga,1–1,Arna-Bjørnar
151,Sandviken,0–0,LSK Kvinner
153,Trondheims-Ørn,0–0,Grand Bodø
154,Kolbotn,3–1,Vålerenga
155,LSK Kvinner,6–2,Røa
156,Lyn,2–4,Sandviken
157,Avaldsnes,2–0,Stabæk
158,Arna-Bjørnar,0–0,Klepp
0,LSK Kvinner,4–3,Kolbotn
1,Sandviken,0–2,Røa
2,Klepp,1–0,Avaldsnes
3,Lyn,0–0,Fart
4,Trondheims-Ørn,0–0,Arna-Bjørnar
5,Vålerenga,1–0,Stabæk
7,Arna-Bjørnar,1–1,Lyn
8,Avaldsnes,1–1,LSK Kvinner
9,Røa,2–1,Trondheims-Ørn
10,Stabæk,0–2,Klepp
11,Fart,0–3,Sandviken
12,Kolbotn,1–2,Vålerenga
14,Klepp,1–0,Røa
15,Lyn,0–0,Kolbotn
16,Sandviken,3–0,Stabæk
17,Vålerenga,4–0,Fart
18,LSK Kvinner,3–1,Arna-Bjørnar
19,Trondheims-Ørn,1–1,Avaldsnes
21,Lyn,0–2,LSK Kvinner
23,Avaldsnes,2–2,Vålerenga
24,Arna-Bjørnar,1–0,Klepp
25,Kolbotn,3–2,Sandviken
26,Fart,0–4,LSK Kvinner
27,Stabæk,1–1,Trondheims-Ørn
28,Røa,2–3,Lyn
30,Lyn,2–0,Stabæk
31,Fart,2–3,Kolbotn
32,LSK Kvinner,1–1,Røa
33,Sandviken,6–4,Avaldsnes
34,Trondheims-Ørn,0–1,Klepp
35,Vålerenga,1–0,Arna-Bjørnar
37,Trondheims-Ørn,0–1,Vålerenga
38,Avaldsnes,3–3,Fart
39,LSK Kvinner,4–0,Stabæk
40,Arna-Bjørnar,1–2,Sandviken
41,Røa,1–2,Kolbotn
42,Klepp,1–0,Lyn
44,Kolbotn,3–1,Avaldsnes
45,Stabæk,0–2,Røa
46,Fart,1–3,Arna-Bjørnar
47,Sandviken,2–1,Klepp
48,Lyn,0–3,Trondheims-Ørn
49,Vålerenga,1–2,LSK Kvinner
51,LSK Kvinner,6–0,Lyn
52,Klepp,5–0,Vålerenga
53,Avaldsnes,4–0,Stabæk
54,Røa,5–0,Fart
55,Trondheims-Ørn,0–1,Sandviken
56,Arna-Bjørnar,1–3,Kolbotn
58,Fart,0–2,Trondheims-Ørn
59,Stabæk,0–1,Arna-Bjørnar
60,Vålerenga,0–1,Lyn
61,Kolbotn,0–0,Klepp
62,Sandviken,1–3,LSK Kvinner
63,Røa,2–2,Avaldsnes
65,Vålerenga,1–1,Sandviken
67,Avaldsnes,2–1,Arna-Bjørnar
68,Kolbotn,1–2,Trondheims-Ørn
69,Fart,1–0,Stabæk
70,LSK Kvinner,0–1,Klepp
71,Røa,2–6,Vålerenga
72,Sandviken,2–1,Lyn
74,Vålerenga,1–0,Kolbotn
75,Stabæk,0–0,Avaldsnes
76,Arna-Bjørnar,3–1,Fart
77,Trondheims-Ørn,0–1,Røa
78,Klepp,2–3,Sandviken
80,LSK Kvinner,2–0,Vålerenga
81,Kolbotn,0–2,Arna-Bjørnar
82,Fart,2–2,Lyn
83,Avaldsnes,1–3,Klepp
84,Røa,2–1,Stabæk
85,Sandviken,1–0,Trondheims-Ørn
87,Klepp,3–0,Kolbotn
88,Trondheims-Ørn,3–0,Fart
89,Avaldsnes,1–0,Røa
90,Stabæk,0–2,Sandviken
91,Lyn,1–2,Vålerenga
92,Arna-Bjørnar,1–3,LSK Kvinner
94,LSK Kvinner,2–0,Trondheims-Ørn
95,Vålerenga,4–0,Klepp
96,Fart,0–3,Avaldsnes
97,Arna-Bjørnar,2–2,Stabæk
98,Lyn,1–1,Sandviken
99,Kolbotn,4–4,Røa
101,Røa,6–1,Arna-Bjørnar
102,Sandviken,3–4,Vålerenga
103,Avaldsnes,2–1,Kolbotn
104,Stabæk,3–0,Fart
105,Trondheims-Ørn,1–1,Lyn
106,Klepp,1–1,LSK Kvinner
108,Lyn,2–3,Avaldsnes
109,Trondheims-Ørn,0–3,LSK Kvinner
110,Stabæk,2–0,Kolbotn
112,Lyn,2–1,Klepp
113,Vålerenga,3–1,Trondheims-Ørn
114,Fart,1–1,Røa
115,Arna-Bjørnar,0–2,Avaldsnes
